Reference,Qty,LCSC
"C1,C2,C3,C4,C5,C9,C12,C13,C17,C23,C24",11,C60474
"C6,C14,C15",3,C315248
"C7,C8,C11",3,C170151
"C10,C19,C22",3,C60133
"C16,C18,C25",3,C713505
C21,1,C6119795
C26,1,C178330
"D1,D2",2,C5345968
"D3,D4,D5",3,C19273151
D6,1,C478011
D7,1,C30584800
D8,1,C30584800
FB1,1,C107335
J1,1,C165948
J2,1,C265120
L1,1,C53436344
MT1,1,C3288646
"R1,R4",2,C98220
"R2,R3",2,C2907044
R5,1,C2907123
R6,1,C2933134
"R7,R9,R13",3,C2907148
R8,1,C2907113
R10,1,C2906984
R11,1,C49654438
R12,1,C2907115
SW1,1,C2886902
U1,1,C15742
U2,1,C462619
U3,1,C3014296
Y1,1,C2916927
