Designator,Mid X,Mid Y,Layer,Rotation
BUCK,138.4905,-120.9475,Top,270
C1,138.775,-109.475,Top,180
C10,142.97,-113.925,Top,0
C11,140.675,-113.925,Top,0
C12,144.525,-112.175,Top,90
C13,154,-115.03,Top,90
C14,154,-110.845,Top,90
C15,154,-112.945,Top,90
C16,135.275,-103.025,Top,0
C17,135.925,-105.77,Top,90
C18,133.55,-98.2,Top,180
C19,134.7,-105.77,Top,90
C2,137.45,-98.175,Top,0
C21,134.5,-122.22,Top,270
C22,134.05,-118.9,Top,0
C23,145.38,-123.125,Top,0
C24,143,-123.125,Top,180
C25,146.6,-120.75,Top,90
C26,144.2,-121.725,Top,180
C3,146.6,-108.5,Top,270
C4,139.87,-97.75,Top,0
C5,146.875,-99.075,Top,0
C6,137.45,-99.5,Top,0
C7,144.8,-109.6,Top,0
C8,148.15,-100.6,Top,270
C9,135.475,-104.2,Top,180
D1,150.45,-97.825,Top,0
D2,158,-117.8,Top,0
D3,148.1875,-116.925,Top,0
D4,147.2,-112.925,Top,180
D5,147.5,-126.7,Top,0
D6,137,-125.75,Top,0
D8,150.25,-114.0425,Top,90
FB1,133.1,-106.5625,Top,90
J1,158.4,-103.85,Top,90
J2,125.4,-115.4,Top,270
J3,148.92,-93.75,Top,90
J4,127,-103.94,Top,0
J5,137.33,-93.75,Top,90
L1,143.85,-125.1,Top,0
LDO,158.4,-112.9,Top,180
MT1,141.9125,-111.7875,Top,0
R1,151.975,-116.925,Top,180
R10,133.4755,-120.4,Top,180
R11,144.2,-118.35,Top,0
R12,144.2,-120.15,Top,0
R13,147.475,-124.85,Top,0
R2,150.35,-100.5,Top,180
R3,151.65,-106.1,Top,180
R4,132.55,-110.575,Top,90
R5,150.25,-110.6125,Top,90
R6,152.25,-110.6125,Top,270
R7,152.25,-114.0625,Top,270
R8,134.5,-110.575,Top,270
R9,147.22,-111.075,Top,180
STM32,142.35,-103.65,Top,270
SW1,152.1,-123,Top,90
Y1,134.2,-100.7,Top,180
